,Url,Title,Company,Location,Last_Updated,Rent,Unit,Availability,Phone,AverageRating,# of Reviwer,WalkScore,WalkScore_desc,TransitScore,TransitScore_desc,Rent_by_room
10,https://www.apartments.com/parklane-apartments-pittsburgh-pa/k8k522c/,Parklane Apartments,Village Green,"5700 Bunkerhill St, Pittsburgh, PA 15206",7 hrs Ago,"$1,170 - 2,700",1-3 Bed,Available 03/12/20,844-617-0572,4.9,4 Renter Reviews,61,Somewhat Walkable,46,Some Transit,"{'1 Bed': '$1,700', '2 Beds': '$1,170 – 2,325', '3 Beds': '$2,690 – 2,700'}"
11,https://www.apartments.com/oakland-apartments-pittsburgh-pa/6e8q1dr/,Oakland Apartments,Lobos Management,"4629 Bayard St, Pittsburgh, PA 15213",8 hrs Ago,"$695 - 2,690",Studio - 4 Bed,Available Now,844-291-8672,4.0,,90,Walker's Paradise,71,Excellent Transit,"{'Studio': '$695 – 995', '1 Bed': '$910 – 1,275', '2 Beds': '$1,425 – 1,725', '3 Beds': '$2,690', '4 Beds': '$1,789 – 1,899'}"
12,https://www.apartments.com/heinz-lofts-pittsburgh-pa/m0k293k/,Heinz Lofts,"Alterra Property Group, LLC (“Alterra”)","300 Heinz St, Pittsburgh, PA 15212",4 hrs Ago,"$1,460 - 5,085",1-3 Bed,Available Now,412-847-5081,5.0,4 Renter Reviews,72,Very Walkable,66,Good Transit,"{'1 Bed': '$1,460 – 2,530', '2 Beds': '$1,865 – 4,634', '3 Beds': '$2,325 – 5,085'}"
13,https://www.apartments.com/950-northshore-pittsburgh-pa/h7865f1/,950 NORTHSHORE,Amore Management Company,"950 Progress St, Pittsburgh, PA 15212",New,"$1,240 - 2,435",Studio - 2 Bed,Available Now,844-709-6853,5.0,2 Renter Reviews,80,Very Walkable,74,Excellent Transit,"{'Studio': '$1,340 – 1,485', '1 Bed': '$1,240 – 2,135', '2 Beds': '$1,760 – 2,435'}"
14,https://www.apartments.com/ridge-at-robinson-pittsburgh-pa/xlh2qsp/,Ridge at Robinson,Greystar,"1501 Meredith Dr, Pittsburgh, PA 15205",New,"$1,545 - 2,482",1-3 Bed,Available Now,412-533-5788,5.0,1 Renter Reviews,37,Car-Dependent,29,Some Transit,"{'1 Bed': '$1,555 – 1,904', '2 Beds': '$1,545 – 2,177', '3 Beds': '$1,945 – 2,482'}"
15,https://www.apartments.com/glasshouse-pittsburgh-pittsburgh-pa/mbet9fh/,Glasshouse Pittsburgh,The Bozzuto Group,"160 E Station Square Dr, Pittsburgh, PA 15219",New,"$1,650 - 2,420",1-2 Bed,Available Now,844-765-8036,5.0,1 Renter Reviews,75,Very Walkable,86,Excellent Transit,"{'1 Bed': '$1,650 – 2,420', '2 Beds': 'Call for Rent'}"
16,https://www.apartments.com/edge-1909-pittsburgh-pa/33nh2kd/,Edge 1909,"The NRP Group, LLC","1909 Waterfront Pl, Pittsburgh, PA 15222",New,"$1,459 - 8,165",1-2 Bed,Available Now,844-779-8909,5.0,4 Renter Reviews,72,Very Walkable,70,Excellent Transit,"{'1 Bed': '$1,459 – 4,162', '2 Beds': '$3,193 – 8,165'}"
17,https://www.apartments.com/walnut-towers-at-frick-park-pittsburgh-pa/vbe85ne/,Walnut Towers at Frick Park,Walnut Capital,"7070 Forward Ave, Pittsburgh, PA 15217",4 hrs Ago,"$1,120 - 1,995",1-2 Bed,Available Now,412-206-5629,4.9,1 Renter Reviews,27,Car-Dependent,40,Some Transit,"{'1 Bed': '$1,120 – 1,605', '2 Beds': '$1,265 – 1,995'}"
18,https://www.apartments.com/king-edward-4601-apartments-pittsburgh-pa/m65jljh/,King Edward 4601 Apartments,Sterling Land Company,"4601 Bayard St, Pittsburgh, PA 15213",7 hrs Ago,"$900 - 1,830",Studio - 2 Bed,Available Now,412-727-8015,4.0,,90,Walker's Paradise,71,Excellent Transit,"{'Studio': '$900 – 1,100', '1 Bed': '$1,245 – 1,750', '2 Beds': '$1,450 – 1,830'}"
19,https://www.apartments.com/the-brix-at-26-pittsburgh-pa/6zm86wt/,The Brix at 26,Hudson Companies,"75 S 26th St, Pittsburgh, PA 15203",9 hrs Ago,"$1,295 - 2,540",Studio - 2 Bed,Available Now,412-275-0805,5.0,,92,Walker's Paradise,62,Good Transit,"{'Studio': '$1,365 – 1,390', '1 Bed': '$1,295 – 2,075', '2 Beds': '$1,915 – 2,540'}"
20,https://www.apartments.com/ollie-at-baumhaus-pittsburgh-pa/gxewllw/,Ollie at Baumhaus,,"5522 Baum Blvd, Pittsburgh, PA 15232",9 hrs Ago,"$1,050 - 2,156",Studio - 3 Bed,Available Now,844-762-5514,5.0,4 Renter Reviews,93,Walker's Paradise,70,Excellent Transit,"{'Studio': '$1,869', '1 Bed': '$1,739 – 2,156', '3 Beds': '$1,050'}"
21,https://www.apartments.com/southside-works-city-apartments-pittsburgh-pa/2s7e9tc/,SouthSide Works City Apartments,"City Club Apartments, LLC","2626 S Tunnel Blvd, Pittsburgh, PA 15203",9 hrs Ago,"$1,270 - 3,110",Studio - 3 Bed,Available Now,412-253-6497,5.0,1 Renter Reviews,85,Very Walkable,67,Good Transit,"{'Studio': '$1,270 – 1,600', '1 Bed': '$1,615 – 1,940', '2 Beds': '$1,915 – 2,705', '3 Beds': '$2,815 – 3,110'}"
22,https://www.apartments.com/the-cork-factory-lofts-pittsburgh-pa/5tcr5qn/,The Cork Factory Lofts,"GMH Associates, Inc.","2349 Railroad St, Pittsburgh, PA 15222",9 hrs Ago,"$1,653 - 3,410",1-2 Bed,Available Now,866-626-1231,5.0,2 Renter Reviews,74,Very Walkable,60,Good Transit,"{'1 Bed': '$1,653 – 2,472', '2 Beds': '$2,656 – 3,410'}"
23,https://www.apartments.com/arsenal-201-pittsburgh-pa/49f41lj/,Arsenal 201,Milhaus,"3922 Foster St, Pittsburgh, PA 15201",New,"$999 - 3,184",Studio - 3 Bed,Available Now,844-831-9422,5.0,,84,Very Walkable,52,Good Transit,"{'Studio': '$999 – 1,314', '1 Bed': '$1,474 – 1,998', '2 Beds': '$2,234 – 2,649', '3 Beds': '$2,919 – 3,184'}"
24,https://www.apartments.com/terminal-21-pittsburgh-pa/eqe2jvp/,Terminal 21,Milhaus,"615 First Ave, Pittsburgh, PA 15219",10 hrs Ago,"$1,200 - 2,401",Studio - 2 Bed,Available Now,412-557-7578,5.0,,87,Very Walkable,97,Rider's Paradise,"{'Studio': '$1,200 – 1,300', '1 Bed': '$1,430 – 1,695', '2 Beds': '$1,950 – 2,401'}"
25,https://www.apartments.com/the-alden-south-hills-apartment-homes-pittsburgh-pa/9ws6nj7/,The Alden South Hills Apartment Homes,AION Partners,"5492 Youngridge Dr, Pittsburgh, PA 15236",New,"$605 - 1,430",Studio - 3 Bed,Available Now,412-532-4826,3.6,41 Renter Reviews,48,Car-Dependent,40,Some Transit,"{'Studio': 'Call for Rent', '1 Bed': '$605 – 1,150', '2 Beds': '$705 – 1,430', '3 Beds': '$870 – 1,295'}"
26,https://www.apartments.com/the-pennsylvanian-pittsburgh-pa/xtp479p/,The Pennsylvanian,Greystar,"1100 Liberty Ave, Pittsburgh, PA 15222",1 hr Ago,"$1,187 - 3,014",Studio - 2 Bed,Available Now,866-350-8444,4.9,9 Renter Reviews,88,Very Walkable,97,Rider's Paradise,"{'Studio': '$1,187 – 1,414', '1 Bed': '$1,511 – 2,456', '2 Beds': '$1,683 – 3,014'}"
27,https://www.apartments.com/crane-village-apartments-pittsburgh-pa/j5zf8h7/,Crane Village Apartments,Dreyfuss Management,"651 Oaklynn Ct, Pittsburgh, PA 15220",New,"$750 - 1,415",Studio - 3 Bed,Available Now,412-253-4242,3.9,8 Renter Reviews,25,Car-Dependent,40,Some Transit,"{'Studio': '$750', '1 Bed': '$890 – 1,010', '2 Beds': '$1,210 – 1,415', '3 Beds': 'Call for Rent'}"
28,https://www.apartments.com/city-view-pittsburgh-pa/l1d4klg/,City View,Faros Properties,"1420 Centre Ave, Pittsburgh, PA 15219",New,"$1,148 - 2,919",Studio - 2 Bed,Available Now,412-532-1007,4.8,8 Renter Reviews,89,Very Walkable,91,Rider's Paradise,"{'Studio': '$1,202 – 2,057', '1 Bed': '$1,148 – 2,239', '2 Beds': '$1,512 – 2,919'}"
29,https://www.apartments.com/franklin-west-apartments-leasing-office-pittsburgh-pa/vs057fe/,"Franklin West Apartments, Leasing Office",Franklin West,"272 Shady Ave, Pittsburgh, PA 15206",New,"$730 - 2,010",Studio - 3 Bed,Available Now,844-823-6344,4.0,,94,Walker's Paradise,71,Excellent Transit,"{'Studio': '$730 – 1,110', '1 Bed': '$910 – 1,920', '2 Beds': '$1,185 – 1,735', '3 Beds': '$2,010'}"
30,https://www.apartments.com/carson-street-commons-pittsburgh-pa/bypghtc/,Carson Street Commons,Faros Properties,"2525-2539 E Carson St, Pittsburgh, PA 15203",New,"$1,335 - 4,315",1-2 Bed,Available Now,412-847-5472,4.9,3 Renter Reviews,86,Very Walkable,68,Good Transit,"{'1 Bed': '$1,335 – 4,315', '2 Beds': '$1,645 – 3,305'}"
31,https://www.apartments.com/bear-run-village-pittsburgh-pa/k9frr2c/,Bear Run Village,,"100 Bear Run Dr, Pittsburgh, PA 15237",New,"$990 - 1,670",1-3 Bed,Available Now,724-330-4618,4.7,9 Renter Reviews,8,Car-Dependent,0,Minimal Transit,"{'1 Bed': '$990 – 1,170', '2 Beds': '$1,185 – 1,510', '3 Beds': '$1,570 – 1,670'}"
32,https://www.apartments.com/carriage-park-apartments-pittsburgh-pa/x3e5m3m/,Carriage Park Apartments,Dreyfuss Management,"300 Chatham Park Dr, Pittsburgh, PA 15220",New,"$780 - 1,800",Studio - 3 Bed,Available Now,412-253-2894,3.9,7 Renter Reviews,25,Car-Dependent,31,Some Transit,"{'Studio': '$780 – 810', '1 Bed': '$830 – 1,035', '2 Beds': '$1,100 – 1,365', '3 Beds': '$1,730 – 1,800'}"
33,https://www.apartments.com/royal-york-pittsburgh-pa/whft4ml/,Royal York,Sterling Land Company,"3955 Bigelow Blvd, Pittsburgh, PA 15213",7 hrs Ago,"$980 - 2,550",Studio - 3 Bed,Available Now,412-253-6972,5.0,,88,Very Walkable,70,Excellent Transit,"{'Studio': '$980', '1 Bed': '$1,200 – 1,300', '2 Beds': '$1,700 – 1,830', '3 Beds': '$2,550'}"
34,https://www.apartments.com/park-view-apartments-pittsburgh-pa/8blhq53/,Park View Apartments,Faros Properties,"10 Allegheny Ctr, Pittsburgh, PA 15212",New,"$850 - 2,645",Studio - 2 Bed,Available Now,844-743-7158,4.5,20 Renter Reviews,88,Very Walkable,83,Excellent Transit,"{'Studio': '$850 – 2,390', '1 Bed': '$1,100 – 2,405', '2 Beds': '$1,400 – 2,645'}"
35,https://www.apartments.com/parklane-apartments-pittsburgh-pa/k8k522c/,Parklane Apartments,Village Green,"5700 Bunkerhill St, Pittsburgh, PA 15206",7 hrs Ago,"$1,170 - 2,700",1-3 Bed,Available 03/12/20,844-617-0572,4.9,4 Renter Reviews,61,Somewhat Walkable,46,Some Transit,"{'1 Bed': '$1,700', '2 Beds': '$1,170 – 2,325', '3 Beds': '$2,690 – 2,700'}"
36,https://www.apartments.com/oakland-apartments-pittsburgh-pa/6e8q1dr/,Oakland Apartments,Lobos Management,"4629 Bayard St, Pittsburgh, PA 15213",8 hrs Ago,"$695 - 2,690",Studio - 4 Bed,Available Now,844-291-8672,4.0,,90,Walker's Paradise,71,Excellent Transit,"{'Studio': '$695 – 995', '1 Bed': '$910 – 1,275', '2 Beds': '$1,425 – 1,725', '3 Beds': '$2,690', '4 Beds': '$1,789 – 1,899'}"
37,https://www.apartments.com/heinz-lofts-pittsburgh-pa/m0k293k/,Heinz Lofts,"Alterra Property Group, LLC (“Alterra”)","300 Heinz St, Pittsburgh, PA 15212",4 hrs Ago,"$1,460 - 5,085",1-3 Bed,Available Now,412-847-5081,5.0,4 Renter Reviews,72,Very Walkable,66,Good Transit,"{'1 Bed': '$1,460 – 2,530', '2 Beds': '$1,865 – 4,634', '3 Beds': '$2,325 – 5,085'}"
38,https://www.apartments.com/950-northshore-pittsburgh-pa/h7865f1/,950 NORTHSHORE,Amore Management Company,"950 Progress St, Pittsburgh, PA 15212",New,"$1,240 - 2,435",Studio - 2 Bed,Available Now,844-709-6853,5.0,2 Renter Reviews,80,Very Walkable,74,Excellent Transit,"{'Studio': '$1,340 – 1,485', '1 Bed': '$1,240 – 2,135', '2 Beds': '$1,760 – 2,435'}"
39,https://www.apartments.com/ridge-at-robinson-pittsburgh-pa/xlh2qsp/,Ridge at Robinson,Greystar,"1501 Meredith Dr, Pittsburgh, PA 15205",New,"$1,545 - 2,482",1-3 Bed,Available Now,412-533-5788,5.0,1 Renter Reviews,37,Car-Dependent,29,Some Transit,"{'1 Bed': '$1,555 – 1,904', '2 Beds': '$1,545 – 2,177', '3 Beds': '$1,945 – 2,482'}"
40,https://www.apartments.com/glasshouse-pittsburgh-pittsburgh-pa/mbet9fh/,Glasshouse Pittsburgh,The Bozzuto Group,"160 E Station Square Dr, Pittsburgh, PA 15219",New,"$1,650 - 2,420",1-2 Bed,Available Now,844-765-8036,5.0,1 Renter Reviews,75,Very Walkable,86,Excellent Transit,"{'1 Bed': '$1,650 – 2,420', '2 Beds': 'Call for Rent'}"
41,https://www.apartments.com/edge-1909-pittsburgh-pa/33nh2kd/,Edge 1909,"The NRP Group, LLC","1909 Waterfront Pl, Pittsburgh, PA 15222",New,"$1,459 - 8,165",1-2 Bed,Available Now,844-779-8909,5.0,4 Renter Reviews,72,Very Walkable,70,Excellent Transit,"{'1 Bed': '$1,459 – 4,162', '2 Beds': '$3,193 – 8,165'}"
42,https://www.apartments.com/walnut-towers-at-frick-park-pittsburgh-pa/vbe85ne/,Walnut Towers at Frick Park,Walnut Capital,"7070 Forward Ave, Pittsburgh, PA 15217",4 hrs Ago,"$1,120 - 1,995",1-2 Bed,Available Now,412-206-5629,4.9,1 Renter Reviews,27,Car-Dependent,40,Some Transit,"{'1 Bed': '$1,120 – 1,605', '2 Beds': '$1,265 – 1,995'}"
43,https://www.apartments.com/king-edward-4601-apartments-pittsburgh-pa/m65jljh/,King Edward 4601 Apartments,Sterling Land Company,"4601 Bayard St, Pittsburgh, PA 15213",7 hrs Ago,"$900 - 1,830",Studio - 2 Bed,Available Now,412-727-8015,4.0,,90,Walker's Paradise,71,Excellent Transit,"{'Studio': '$900 – 1,100', '1 Bed': '$1,245 – 1,750', '2 Beds': '$1,450 – 1,830'}"
44,https://www.apartments.com/the-brix-at-26-pittsburgh-pa/6zm86wt/,The Brix at 26,Hudson Companies,"75 S 26th St, Pittsburgh, PA 15203",9 hrs Ago,"$1,295 - 2,540",Studio - 2 Bed,Available Now,412-275-0805,5.0,,92,Walker's Paradise,62,Good Transit,"{'Studio': '$1,365 – 1,390', '1 Bed': '$1,295 – 2,075', '2 Beds': '$1,915 – 2,540'}"
45,https://www.apartments.com/ollie-at-baumhaus-pittsburgh-pa/gxewllw/,Ollie at Baumhaus,,"5522 Baum Blvd, Pittsburgh, PA 15232",9 hrs Ago,"$1,050 - 2,156",Studio - 3 Bed,Available Now,844-762-5514,5.0,4 Renter Reviews,93,Walker's Paradise,70,Excellent Transit,"{'Studio': '$1,869', '1 Bed': '$1,739 – 2,156', '3 Beds': '$1,050'}"
46,https://www.apartments.com/southside-works-city-apartments-pittsburgh-pa/2s7e9tc/,SouthSide Works City Apartments,"City Club Apartments, LLC","2626 S Tunnel Blvd, Pittsburgh, PA 15203",9 hrs Ago,"$1,270 - 3,110",Studio - 3 Bed,Available Now,412-253-6497,5.0,1 Renter Reviews,85,Very Walkable,67,Good Transit,"{'Studio': '$1,270 – 1,600', '1 Bed': '$1,615 – 1,940', '2 Beds': '$1,915 – 2,705', '3 Beds': '$2,815 – 3,110'}"
47,https://www.apartments.com/the-cork-factory-lofts-pittsburgh-pa/5tcr5qn/,The Cork Factory Lofts,"GMH Associates, Inc.","2349 Railroad St, Pittsburgh, PA 15222",9 hrs Ago,"$1,653 - 3,410",1-2 Bed,Available Now,866-626-1231,5.0,2 Renter Reviews,74,Very Walkable,60,Good Transit,"{'1 Bed': '$1,653 – 2,472', '2 Beds': '$2,656 – 3,410'}"
48,https://www.apartments.com/arsenal-201-pittsburgh-pa/49f41lj/,Arsenal 201,Milhaus,"3922 Foster St, Pittsburgh, PA 15201",New,"$999 - 3,184",Studio - 3 Bed,Available Now,844-831-9422,5.0,,84,Very Walkable,52,Good Transit,"{'Studio': '$999 – 1,314', '1 Bed': '$1,474 – 1,998', '2 Beds': '$2,234 – 2,649', '3 Beds': '$2,919 – 3,184'}"
49,https://www.apartments.com/terminal-21-pittsburgh-pa/eqe2jvp/,Terminal 21,Milhaus,"615 First Ave, Pittsburgh, PA 15219",10 hrs Ago,"$1,200 - 2,401",Studio - 2 Bed,Available Now,412-557-7578,5.0,,87,Very Walkable,97,Rider's Paradise,"{'Studio': '$1,200 – 1,300', '1 Bed': '$1,430 – 1,695', '2 Beds': '$1,950 – 2,401'}"
50,https://www.apartments.com/the-ashby-at-south-hills-village-station-pittsburgh-pa/gdcp1px/,The Ashby at South Hills Village Station,Lincoln Property Company,"1100 Village Dr, Pittsburgh, PA 15241",New,"$1,200 - 5,162",1-3 Bed,Available Now,703-635-7163,5.0,43 Renter Reviews,48,Car-Dependent,52,Good Transit,"{'1 Bed': '$1,200 – 2,590', '2 Beds': '$1,665 – 3,729', '3 Beds': '$2,024 – 5,162'}"
51,https://www.apartments.com/brentmoor-at-penn-center-pittsburgh-pa/f01j4rr/,Brentmoor at Penn Center,Brookview Realty Group,"1100 Penn Center Blvd, Pittsburgh, PA 15235",New,"$790 - 1,395",Studio - 2 Bed,Available Now,888-864-7816,4.1,17 Renter Reviews,35,Car-Dependent,30,Some Transit,"{'Studio': '$790', '1 Bed': '$855 – 880', '2 Beds': '$940 – 1,395'}"
52,https://www.apartments.com/the-revival-on-carson-pittsburgh-pa/csyjvqd/,The Revival on Carson,Millcraft Investments,"1700 E Carson St, Pittsburgh, PA 15203",1 day Ago,"$1,200 - 2,490",1-2 Bed,Available 06/01/20,412-336-8107,5.0,,98,Walker's Paradise,66,Good Transit,"{'1 Bed': '$1,200 – 1,695', '2 Beds': '$1,695 – 2,490'}"
53,https://www.apartments.com/hyland-hills-apartments-pittsburgh-pa/qhg5jyw/,Hyland Hills Apartments,Phillips & Associates Development Co.,"275 Oakville Dr, Pittsburgh, PA 15220",1 day Ago,"$835 - 1,325",1-3 Bed,Available 03/07/20,844-829-9060,4.0,5 Renter Reviews,16,Car-Dependent,37,Some Transit,"{'1 Bed': '$835', '2 Beds': '$960 – 1,175', '3 Beds': '$1,325'}"
54,https://www.apartments.com/chestnut-ridge-apartments-pittsburgh-pa/thnezhc/,Chestnut Ridge Apartments,,"3200 Chestnut Ridge Dr, Pittsburgh, PA 15205",1 day Ago,"$940 - 1,390",1-2 Bed,Available Now,844-519-0580,5.0,,29,Car-Dependent,26,Some Transit,"{'1 Bed': '$940 – 1,067', '2 Beds': '$1,120 – 1,390'}"
55,https://www.apartments.com/north-pointe-commons-pittsburgh-pa/elz83gm/,North Pointe Commons,,"100 Park Plaza Dr, Pittsburgh, PA 15229",1 day Ago,"$960 - 1,280",1-2 Bed,Available Now,844-654-1244,4.0,3 Renter Reviews,55,Somewhat Walkable,39,Some Transit,"{'1 Bed': '$960 – 1,090', '2 Beds': '$1,100 – 1,280'}"
56,https://www.apartments.com/holiday-park-apartments-and-townhomes-pittsburgh-pa/l6dpyve/,Holiday Park Apartments and Townhomes,,"80 Sandune Dr, Pittsburgh, PA 15239",1 day Ago,"$787 - 1,566",Studio - 3 Bed,Available Now,844-876-0498,4.0,3 Renter Reviews,40,Car-Dependent,21,Minimal Transit,"{'Studio': '$787', '1 Bed': '$796 – 838', '2 Beds': '$821 – 1,146', '3 Beds': '$1,007 – 1,566'}"
57,https://www.apartments.com/forbes-management-apartments-leasing-office-pittsburgh-pa/b07k4dc/,"Forbes Management Apartments, Leasing Office",,"6230 Fifth Ave, Pittsburgh, PA 15232",2 days Ago,"$855 - 2,340",1-4 Bed,Available 07/01/20,844-352-6804,4.0,,97,Walker's Paradise,72,Excellent Transit,"{'1 Bed': '$855 – 1,245', '2 Beds': '$1,349 – 2,069', '4 Beds': '$2,340'}"
58,https://www.apartments.com/oak-hill-apartments-pittsburgh-pa/m4pz40l/,Oak Hill Apartments,Corcoran Jennison Management,"475 Garner Ct, Pittsburgh, PA 15213",6 days Ago,"$1,100 - 1,650",Studio - 2 Bed,Available Now,844-209-9199,4.9,4 Renter Reviews,70,Very Walkable,72,Excellent Transit,"{'Studio': '$1,100', '1 Bed': '$1,225 – 1,240', '2 Beds': '$1,525 – 1,650'}"
59,https://www.apartments.com/sk-management-pittsburgh-pa/m11s1dl/,Sk Management,,"795-10 Pine Valley Dr, Pittsburgh, PA 15239",1 wk Ago,"$645 - 1,055",1-3 Bed,Available Now,844-624-7513,3.0,,30,Car-Dependent,21,Minimal Transit,"{'1 Bed': '$645', '2 Beds': '$670 – 1,055', '3 Beds': '$790 – 905'}"
60,https://www.apartments.com/castle-ridge-apartments-pittsburgh-pa/rn8xhw1/,Castle Ridge Apartments,Phillips & Associates Development Co.,"850 Baldwin St, Pittsburgh, PA 15234",1 wk Ago,"$1,100 - 1,590",1-2 Bed,Available Now,844-253-6725,5.0,1 Renter Reviews,43,Car-Dependent,53,Good Transit,"{'1 Bed': '$1,100', '2 Beds': '$1,375 – 1,590'}"
61,https://www.apartments.com/kaufmanns-grand-on-fifth-avenue-pittsburgh-pa/db3d2xh/,Kaufmann's Grand on Fifth Avenue,Core Realty,"400 5th Ave, Pittsburgh, PA 15219",2 wks Ago,"$1,596 - 2,446",1-2 Bed,Available Now,844-459-8552,5.0,2 Renter Reviews,99,Walker's Paradise,100,Rider's Paradise,"{'1 Bed': '$1,596 – 1,868', '2 Beds': '$2,446'}"
62,https://www.apartments.com/emerald-gardens-pittsburgh-pa/2gw33r9/,Emerald Gardens,Tryko Partners,"2400 Village Rd, Pittsburgh, PA 15205",2 wks Ago,"$895 - 1,200",1-3 Bed,Available Now,412-533-5758,4.9,14 Renter Reviews,17,Car-Dependent,41,Some Transit,"{'1 Bed': '$895 – 950', '2 Beds': '$980 – 1,175', '3 Beds': '$1,115 – 1,200'}"
63,https://www.apartments.com/crossroad-towers-pittsburgh-pa/knydk2c/,Crossroad Towers,A. R. Building Company,"200 Sophia Ave, Pittsburgh, PA 15236",2 wks Ago,"$765 - 1,335",Studio - 2 Bed,Available Soon,844-497-9386,5.0,,53,Somewhat Walkable,42,Some Transit,"{'Studio': '$765', '1 Bed': '$1,025', '2 Beds': '$1,335'}"
64,https://www.apartments.com/briaridge-apartments-pittsburgh-pa/0txlbx2/,Briaridge Apartments,Catranel Realty,"100 Briaridge Dr, Pittsburgh, PA 15145",2 wks Ago,$695 - 975,1-2 Bed,Available Soon,877-861-1365,4.0,2 Renter Reviews,32,Car-Dependent,18,Minimal Transit,"{'1 Bed': '$695 – 775', '2 Beds': '$850 – 975'}"
