,Unnamed: 0,Url,Title,Company,Location,Last_Updated,Rent,Unit,Availability,Phone,AverageRating,# of Reviwer,WalkScore,WalkScore_desc,TransitScore,TransitScore_desc,Rent_by_room,Studio,1 Bed,2 Beds,3 Beds,4 Beds,lat,lng
28,28,https://www.apartments.com/city-view-pittsburgh-pa/l1d4klg/,City View,Faros Properties,"1420 Centre Ave, Pittsburgh, PA 15219",New,"$1,148 - 2,919",Studio - 2 Bed,Available Now,412-532-1007,4.8,8 Renter Reviews,89,Very Walkable,91,Rider's Paradise,"{'Studio': '$1,202 – 2,057', '1 Bed': '$1,148 – 2,239', '2 Beds': '$1,512 – 2,919'}",1629.5,1693.5,2215.5,,,40.4402101,-79.9863197
29,29,https://www.apartments.com/franklin-west-apartments-leasing-office-pittsburgh-pa/vs057fe/,"Franklin West Apartments, Leasing Office",Franklin West,"272 Shady Ave, Pittsburgh, PA 15206",New,"$730 - 2,010",Studio - 3 Bed,Available Now,844-823-6344,4.0,,94,Walker's Paradise,71,Excellent Transit,"{'Studio': '$730 – 1,110', '1 Bed': '$910 – 1,920', '2 Beds': '$1,185 – 1,735', '3 Beds': '$2,010'}",920.0,1415.0,1460.0,2010.0,,40.4572371,-79.9225927
30,30,https://www.apartments.com/carson-street-commons-pittsburgh-pa/bypghtc/,Carson Street Commons,Faros Properties,"2525-2539 E Carson St, Pittsburgh, PA 15203",New,"$1,335 - 4,315",1-2 Bed,Available Now,412-847-5472,4.9,3 Renter Reviews,86,Very Walkable,68,Good Transit,"{'1 Bed': '$1,335 – 4,315', '2 Beds': '$1,645 – 3,305'}",,2825.0,2475.0,,,40.4278116,-79.9691162
31,31,https://www.apartments.com/bear-run-village-pittsburgh-pa/k9frr2c/,Bear Run Village,,"100 Bear Run Dr, Pittsburgh, PA 15237",New,"$990 - 1,670",1-3 Bed,Available Now,724-330-4618,4.7,9 Renter Reviews,8,Car-Dependent,0,Minimal Transit,"{'1 Bed': '$990 – 1,170', '2 Beds': '$1,185 – 1,510', '3 Beds': '$1,570 – 1,670'}",,1080.0,1347.5,1620.0,,40.5486382,-80.08042789999999
32,32,https://www.apartments.com/carriage-park-apartments-pittsburgh-pa/x3e5m3m/,Carriage Park Apartments,Dreyfuss Management,"300 Chatham Park Dr, Pittsburgh, PA 15220",New,"$780 - 1,800",Studio - 3 Bed,Available Now,412-253-2894,3.9,7 Renter Reviews,25,Car-Dependent,31,Some Transit,"{'Studio': '$780 – 810', '1 Bed': '$830 – 1,035', '2 Beds': '$1,100 – 1,365', '3 Beds': '$1,730 – 1,800'}",795.0,932.5,1232.5,1765.0,,40.402777,-80.0585435
33,33,https://www.apartments.com/royal-york-pittsburgh-pa/whft4ml/,Royal York,Sterling Land Company,"3955 Bigelow Blvd, Pittsburgh, PA 15213",7 hrs Ago,"$980 - 2,550",Studio - 3 Bed,Available Now,412-253-6972,5.0,,88,Very Walkable,70,Excellent Transit,"{'Studio': '$980', '1 Bed': '$1,200 – 1,300', '2 Beds': '$1,700 – 1,830', '3 Beds': '$2,550'}",980.0,1250.0,1765.0,2550.0,,40.4529229,-79.9536756
34,34,https://www.apartments.com/park-view-apartments-pittsburgh-pa/8blhq53/,Park View Apartments,Faros Properties,"10 Allegheny Ctr, Pittsburgh, PA 15212",New,"$850 - 2,645",Studio - 2 Bed,Available Now,844-743-7158,4.5,20 Renter Reviews,88,Very Walkable,83,Excellent Transit,"{'Studio': '$850 – 2,390', '1 Bed': '$1,100 – 2,405', '2 Beds': '$1,400 – 2,645'}",1620.0,1752.5,2022.5,,,40.4518425,-80.0069024
35,35,https://www.apartments.com/parklane-apartments-pittsburgh-pa/k8k522c/,Parklane Apartments,Village Green,"5700 Bunkerhill St, Pittsburgh, PA 15206",7 hrs Ago,"$1,170 - 2,700",1-3 Bed,Available 03/12/20,844-617-0572,4.9,4 Renter Reviews,61,Somewhat Walkable,46,Some Transit,"{'1 Bed': '$1,700', '2 Beds': '$1,170 – 2,325', '3 Beds': '$2,690 – 2,700'}",,1700.0,1747.5,2695.0,,40.4792841,-79.9194674
36,36,https://www.apartments.com/oakland-apartments-pittsburgh-pa/6e8q1dr/,Oakland Apartments,Lobos Management,"4629 Bayard St, Pittsburgh, PA 15213",8 hrs Ago,"$695 - 2,690",Studio - 4 Bed,Available Now,844-291-8672,4.0,,90,Walker's Paradise,71,Excellent Transit,"{'Studio': '$695 – 995', '1 Bed': '$910 – 1,275', '2 Beds': '$1,425 – 1,725', '3 Beds': '$2,690', '4 Beds': '$1,789 – 1,899'}",845.0,1092.5,1575.0,2690.0,1844.0,40.4504005,-79.9496106
37,37,https://www.apartments.com/heinz-lofts-pittsburgh-pa/m0k293k/,Heinz Lofts,"Alterra Property Group, LLC (“Alterra”)","300 Heinz St, Pittsburgh, PA 15212",4 hrs Ago,"$1,460 - 5,085",1-3 Bed,Available Now,412-847-5081,5.0,4 Renter Reviews,72,Very Walkable,66,Good Transit,"{'1 Bed': '$1,460 – 2,530', '2 Beds': '$1,865 – 4,634', '3 Beds': '$2,325 – 5,085'}",,1995.0,3249.5,3705.0,,40.4543792,-79.9902906
38,38,https://www.apartments.com/950-northshore-pittsburgh-pa/h7865f1/,950 NORTHSHORE,Amore Management Company,"950 Progress St, Pittsburgh, PA 15212",New,"$1,240 - 2,435",Studio - 2 Bed,Available Now,844-709-6853,5.0,2 Renter Reviews,80,Very Walkable,74,Excellent Transit,"{'Studio': '$1,340 – 1,485', '1 Bed': '$1,240 – 2,135', '2 Beds': '$1,760 – 2,435'}",1412.5,1687.5,2097.5,,,40.4538812,-79.9921316
39,39,https://www.apartments.com/ridge-at-robinson-pittsburgh-pa/xlh2qsp/,Ridge at Robinson,Greystar,"1501 Meredith Dr, Pittsburgh, PA 15205",New,"$1,545 - 2,482",1-3 Bed,Available Now,412-533-5788,5.0,1 Renter Reviews,37,Car-Dependent,29,Some Transit,"{'1 Bed': '$1,555 – 1,904', '2 Beds': '$1,545 – 2,177', '3 Beds': '$1,945 – 2,482'}",,1729.5,1861.0,2213.5,,40.4422199,-80.14355619999999
40,40,https://www.apartments.com/glasshouse-pittsburgh-pittsburgh-pa/mbet9fh/,Glasshouse Pittsburgh,The Bozzuto Group,"160 E Station Square Dr, Pittsburgh, PA 15219",New,"$1,650 - 2,420",1-2 Bed,Available Now,844-765-8036,5.0,1 Renter Reviews,75,Very Walkable,86,Excellent Transit,"{'1 Bed': '$1,650 – 2,420', '2 Beds': 'Call for Rent'}",,2035.0,,,,40.4318641,-80.0011765
41,41,https://www.apartments.com/edge-1909-pittsburgh-pa/33nh2kd/,Edge 1909,"The NRP Group, LLC","1909 Waterfront Pl, Pittsburgh, PA 15222",New,"$1,459 - 8,165",1-2 Bed,Available Now,844-779-8909,5.0,4 Renter Reviews,72,Very Walkable,70,Excellent Transit,"{'1 Bed': '$1,459 – 4,162', '2 Beds': '$3,193 – 8,165'}",,2810.5,5679.0,,,40.4526459,-79.986145
42,42,https://www.apartments.com/walnut-towers-at-frick-park-pittsburgh-pa/vbe85ne/,Walnut Towers at Frick Park,Walnut Capital,"7070 Forward Ave, Pittsburgh, PA 15217",4 hrs Ago,"$1,120 - 1,995",1-2 Bed,Available Now,412-206-5629,4.9,1 Renter Reviews,27,Car-Dependent,40,Some Transit,"{'1 Bed': '$1,120 – 1,605', '2 Beds': '$1,265 – 1,995'}",,1362.5,1630.0,,,40.4267512,-79.9093142
43,43,https://www.apartments.com/king-edward-4601-apartments-pittsburgh-pa/m65jljh/,King Edward 4601 Apartments,Sterling Land Company,"4601 Bayard St, Pittsburgh, PA 15213",7 hrs Ago,"$900 - 1,830",Studio - 2 Bed,Available Now,412-727-8015,4.0,,90,Walker's Paradise,71,Excellent Transit,"{'Studio': '$900 – 1,100', '1 Bed': '$1,245 – 1,750', '2 Beds': '$1,450 – 1,830'}",1000.0,1497.5,1640.0,,,40.4502127,-79.9506159
44,44,https://www.apartments.com/the-brix-at-26-pittsburgh-pa/6zm86wt/,The Brix at 26,Hudson Companies,"75 S 26th St, Pittsburgh, PA 15203",9 hrs Ago,"$1,295 - 2,540",Studio - 2 Bed,Available Now,412-275-0805,5.0,,92,Walker's Paradise,62,Good Transit,"{'Studio': '$1,365 – 1,390', '1 Bed': '$1,295 – 2,075', '2 Beds': '$1,915 – 2,540'}",1377.5,1685.0,2227.5,,,40.4267097,-79.9684478
45,45,https://www.apartments.com/ollie-at-baumhaus-pittsburgh-pa/gxewllw/,Ollie at Baumhaus,,"5522 Baum Blvd, Pittsburgh, PA 15232",9 hrs Ago,"$1,050 - 2,156",Studio - 3 Bed,Available Now,844-762-5514,5.0,4 Renter Reviews,93,Walker's Paradise,70,Excellent Transit,"{'Studio': '$1,869', '1 Bed': '$1,739 – 2,156', '3 Beds': '$1,050'}",1869.0,1947.5,,1050.0,,40.4574633,-79.9361681
46,46,https://www.apartments.com/southside-works-city-apartments-pittsburgh-pa/2s7e9tc/,SouthSide Works City Apartments,"City Club Apartments, LLC","2626 S Tunnel Blvd, Pittsburgh, PA 15203",9 hrs Ago,"$1,270 - 3,110",Studio - 3 Bed,Available Now,412-253-6497,5.0,1 Renter Reviews,85,Very Walkable,67,Good Transit,"{'Studio': '$1,270 – 1,600', '1 Bed': '$1,615 – 1,940', '2 Beds': '$1,915 – 2,705', '3 Beds': '$2,815 – 3,110'}",1435.0,1777.5,2310.0,2962.5,,40.4287502,-79.9671267
47,47,https://www.apartments.com/the-cork-factory-lofts-pittsburgh-pa/5tcr5qn/,The Cork Factory Lofts,"GMH Associates, Inc.","2349 Railroad St, Pittsburgh, PA 15222",9 hrs Ago,"$1,653 - 3,410",1-2 Bed,Available Now,866-626-1231,5.0,2 Renter Reviews,74,Very Walkable,60,Good Transit,"{'1 Bed': '$1,653 – 2,472', '2 Beds': '$2,656 – 3,410'}",,2062.5,3033.0,,,40.4544251,-79.9830472
48,48,https://www.apartments.com/arsenal-201-pittsburgh-pa/49f41lj/,Arsenal 201,Milhaus,"3922 Foster St, Pittsburgh, PA 15201",New,"$999 - 3,184",Studio - 3 Bed,Available Now,844-831-9422,5.0,,84,Very Walkable,52,Good Transit,"{'Studio': '$999 – 1,314', '1 Bed': '$1,474 – 1,998', '2 Beds': '$2,234 – 2,649', '3 Beds': '$2,919 – 3,184'}",1156.5,1736.0,2441.5,3051.5,,40.4684448,-79.9645146
49,49,https://www.apartments.com/terminal-21-pittsburgh-pa/eqe2jvp/,Terminal 21,Milhaus,"615 First Ave, Pittsburgh, PA 15219",10 hrs Ago,"$1,200 - 2,401",Studio - 2 Bed,Available Now,412-557-7578,5.0,,87,Very Walkable,97,Rider's Paradise,"{'Studio': '$1,200 – 1,300', '1 Bed': '$1,430 – 1,695', '2 Beds': '$1,950 – 2,401'}",1250.0,1562.5,2175.5,,,40.4357912,-79.9958868
50,50,https://www.apartments.com/the-ashby-at-south-hills-village-station-pittsburgh-pa/gdcp1px/,The Ashby at South Hills Village Station,Lincoln Property Company,"1100 Village Dr, Pittsburgh, PA 15241",New,"$1,200 - 5,162",1-3 Bed,Available Now,703-635-7163,5.0,43 Renter Reviews,48,Car-Dependent,52,Good Transit,"{'1 Bed': '$1,200 – 2,590', '2 Beds': '$1,665 – 3,729', '3 Beds': '$2,024 – 5,162'}",,1895.0,2697.0,3593.0,,40.3387827,-80.0557049
51,51,https://www.apartments.com/brentmoor-at-penn-center-pittsburgh-pa/f01j4rr/,Brentmoor at Penn Center,Brookview Realty Group,"1100 Penn Center Blvd, Pittsburgh, PA 15235",New,"$790 - 1,395",Studio - 2 Bed,Available Now,888-864-7816,4.1,17 Renter Reviews,35,Car-Dependent,30,Some Transit,"{'Studio': '$790', '1 Bed': '$855 – 880', '2 Beds': '$940 – 1,395'}",790.0,867.5,1167.5,,,40.424957,-79.813581
52,52,https://www.apartments.com/the-revival-on-carson-pittsburgh-pa/csyjvqd/,The Revival on Carson,Millcraft Investments,"1700 E Carson St, Pittsburgh, PA 15203",1 day Ago,"$1,200 - 2,490",1-2 Bed,Available 06/01/20,412-336-8107,5.0,,98,Walker's Paradise,66,Good Transit,"{'1 Bed': '$1,200 – 1,695', '2 Beds': '$1,695 – 2,490'}",,1447.5,2092.5,,,40.4285625,-79.98182179999999
53,53,https://www.apartments.com/hyland-hills-apartments-pittsburgh-pa/qhg5jyw/,Hyland Hills Apartments,Phillips & Associates Development Co.,"275 Oakville Dr, Pittsburgh, PA 15220",1 day Ago,"$835 - 1,325",1-3 Bed,Available 03/07/20,844-829-9060,4.0,5 Renter Reviews,16,Car-Dependent,37,Some Transit,"{'1 Bed': '$835', '2 Beds': '$960 – 1,175', '3 Beds': '$1,325'}",,835.0,1067.5,1325.0,,40.4190622,-80.0378589
54,54,https://www.apartments.com/chestnut-ridge-apartments-pittsburgh-pa/thnezhc/,Chestnut Ridge Apartments,,"3200 Chestnut Ridge Dr, Pittsburgh, PA 15205",1 day Ago,"$940 - 1,390",1-2 Bed,Available Now,844-519-0580,5.0,,29,Car-Dependent,26,Some Transit,"{'1 Bed': '$940 – 1,067', '2 Beds': '$1,120 – 1,390'}",,1003.5,1255.0,,,40.4361014,-80.1492825
55,55,https://www.apartments.com/north-pointe-commons-pittsburgh-pa/elz83gm/,North Pointe Commons,,"100 Park Plaza Dr, Pittsburgh, PA 15229",1 day Ago,"$960 - 1,280",1-2 Bed,Available Now,844-654-1244,4.0,3 Renter Reviews,55,Somewhat Walkable,39,Some Transit,"{'1 Bed': '$960 – 1,090', '2 Beds': '$1,100 – 1,280'}",,1025.0,1190.0,,,40.5155581,-80.033063
